Date,Day_of_Week,Month,Product_ID,Product_Category,Product_Price,Product_Features,Historical_Sales_Quantity,Historical_Sales_Revenue,Current_Inventory_Level,Reorder_Point,Lead_Time,Promotion_Type,Customer_Segmentation,Economic_Indicator,Supplier_Performance,Customer_Rating,Stock_Available,Sales_Quantity,Promotion_Flag,Sales_Revenue
2010-01-01,Friday,January,2060,Clothing,573.6368,100% Cotton,287,506.8266,133,10.185681050581866,7,None,Segment1,1.21,0.42,2.86,505,42,0,622
2010-01-02,Saturday,January,3181,Clothing,356.4144,Slim Fit,255,428.2212,-53,2.0852140206705725,3,Discount,Segment1,0.72,0.11,2.48,673,74,1,2092
2010-01-03,Sunday,January,9243,Books,351.98184000000003,Bestseller,478,1789.84,-30,5.474931796941785,6,None,Segment3,1.33,0.5,4.95,259,24,0,3643
2010-01-04,Monday,January,4387,Electronics,602.3087999999999,4K Ultra HD,457,293.436,155,11.004180900645554,9,Bundle,Segment2,1.51,0.72,4.68,301,36,1,445
2010-01-05,Tuesday,January,8812,Toys,467.08882,Educational,187,1782.0558,155,1.9240508163824481,3,Discount,Segment2,0.94,0.58,1.96,465,53,1,1024
2010-01-06,Wednesday,January,8741,Toys,264.17897000000005,Battery-Powered,307,3311.8239,-65,3.2748871376664868,4,Bundle,Segment1,0.73,0.77,2.87,185,27,1,2932
2010-01-07,Thursday,January,4780,Books,174.43360000000004,Hardcover,145,190.2228,28,4.397308262230785,3,Bundle,Segment3,1.1,0.12,1.32,257,15,1,483
2010-01-08,Friday,January,2240,Toys,133.61810000000003,Battery-Powered,212,2289.4179,115,4.418279938577055,4,None,Segment3,1.34,0.77,2.19,52,14,0,1211
2010-01-09,Saturday,January,1965,Furniture,61.0155,Leather Upholstery,192,496.8548,160,4.553787073265003,6,Discount,Segment3,1.3,0.52,1.89,16,-4,1,334
2010-01-10,Sunday,January,4767,Electronics,900.4600800000001,Wi-Fi Enabled,173,2479.4154,-13,14.155007924532516,10,Bundle,Segment3,2.21,0.67,1.57,436,37,1,1078
2010-01-11,Monday,January,7995,Books,82.54176,Hardcover,389,80.43360000000001,51,1.4991615645392504,1,Discount,Segment1,0.71,0.13,3.81,189,21,1,421
2010-01-12,Tuesday,January,8552,Clothing,8.8272,UV Protection,444,692.12,38,2.545373311791195,3,Discount,Segment3,0.72,0.2,4.5,14,-5,1,3051
2010-01-13,Wednesday,January,7648,Toys,79.35246000000001,Battery-Powered,173,523.7610000000001,95,1.0425541110109975,2,Bundle,Segment2,2.19,0.14,1.89,18,-8,1,1233
2010-01-14,Thursday,January,7985,Books,224.18448,Award-Winning,292,1326.1429999999998,62,11.136794582330879,10,Bundle,Segment3,0.78,0.59,3.03,212,29,1,1105
2010-01-15,Friday,January,7244,Furniture,877.3245,Adjustable Shelves,389,325.3392,92,3.6110757935293387,3,Bundle,Segment1,1.17,0.68,4.05,444,48,1,428
2010-01-16,Saturday,January,5105,Books,362.88344,Award-Winning,307,1003.821,122,2.5263467984479115,2,None,Segment3,2.23,0.39,3.07,292,28,0,1711
2010-01-17,Sunday,January,1662,Toys,616.09295,Educational,145,549.1,99,6.086888560423736,5,None,Segment1,1.15,0.17,1.25,572,52,0,693
2010-01-18,Monday,January,8142,Books,140.75568,Bestseller,187,191.7141,42,4.967876241866006,4,Discount,Segment3,2.19,0.51,1.71,56,8,1,133
